action_tool_name,state,reform_category,Action_or_Tool,action_tool_type,description,data_announced_passed,effective_date,project_type,implementation,relevant_urls,executive_orders_leg,EO_Leg_ID
Updating Requirements for Carbon Capture Facilities,West Virginia,Promote Certainty in Permitting Process,Action,Regulatory Change,"West Virginia Chapter 133, Acts, Regular Session, 2024 amends the permitting of Carbon Dioxide Capture Sequestration and Storage (CCS) facilities by requiring that facilities meet requirements of their Class VI underground injection control permits including requirements related to post-injection site care and site closure to be issued a certificate of completion. It also only allows issuance of the certificate 50 years after injections end ( up from 10 years ) or other site-specific timeframe established with the legislative rules.

CCS facilities separate CO₂ from industrial emissions and inject it deep underground for permanent disposal.
",2024-02-29,2024-05-13,Other,Fully Implemented,"http://www.wvlegislature.gov/Bill_Text_HTML/2024_SESSIONS/RS/bills/hb5045%20sub%20enr.pdf

",recpCVexXoo1wsGXr,"Chapter 133, Acts, Regular Session, 2024"
Creating a Permitting Fast-track Program for Priority Energy Projects ,Delaware,"Consolidate or Eliminate Steps,Shift Culture",Action,Regulatory Change,"One of the key areas of Executive Order 18 is to support energy production in Delaware. The Order aims to create a ""Priority Energy Project Fast-track"" that coordinates review across various agencies. This coordinated review aims to reduce permit processing times well below quoted averages of 18-24 months. The Order specifically refers to clearing backlogs for solar, battery storage, clean energy, and nuclear projects. 
",2026-02-26,,Clean Energy,Fully Implemented,"- [Text of EO ](https://news.delaware.gov/2026/02/26/governor-matt-meyer-signs-executive-order-streamlining-state-permitting-regulations/#:~:text=can%20be%20found-,here,-%2C%C2%A0as%20well%20as)
- [Governor's Office Press Release](https://news.delaware.gov/2026/02/26/governor-matt-meyer-signs-executive-order-streamlining-state-permitting-regulations/)
- [EO FAQ ](https://www.dropbox.com/scl/fi/e8rde5jivy7g1k2ph0ndf/Permitting-Accelerator-FAQ.pdf?rlkey=y09rctvcyo6oxxf4w6pxkac3u&st=q9yo9444&dl=0)
- [EO Implementation Guidelines](https://governor.delaware.gov/wp-content/uploads/sites/219/2026/02/1043_001.pdf)
",recK8Poc6HclP3pWZ,Executive Order #18 - Implementing the Delaware Permitting Accelerator 
Establishing new requirements for watershed-level compensatory mitigation,Connecticut,Benefits for Nature/Communities,Action,Regulatory Change,"The Commissioner of Energy and Environmental Protection may attach a condition to certain permits and water quality certifications requiring ""watershed-level compensatory mitigation"" — meaning steps taken to offset harm done to water resources elsewhere in the same watershed. This condition may be imposed in two situations: first, when the permitted activity is carried out by a state department, agency, or instrumentality (excluding local and regional boards of education); and second, when the permitted activity takes place within the public trust, such as in inland wetlands, watercourses, tidal wetlands, or coastal waters.
The permits and certifications to which this authority applies are those issued under Connecticut's wetlands, dam safety, and coastal management statutes, as well as federal water quality certifications issued under Section 401 of the Clean Water Act.
",2025-06-23,2026-01-01,General,Fully Implemented,"https://www.cga.ct.gov/2025/ACT/PA/PDF/2025PA-00084-R00HB-06868-PA.PDF
",reczWtrB81izVwRKr,HB 6868
Enhancing Permitting of Micro-Grids and Data Centers,West Virginia,Set Projects up for Success,Action,Regulatory Change,"West Virginia Chapter 112, Acts, Regular Session, 2025 is a comprehensive act to spur development of microgrids and data centers. It creates the Certified Microgrid Program permitting the operation of microgrids to power high-impact data centers and mandates that certification be obtained from the Department of Commerce. It also instructs the department secretary to appoint a ""Data Economy Liaison"" to serve as a single point-of-contact for certified microgrid districts and prohibits county or municipal building permitting, inspection, or code enforcement on certified microgrids.
",2025-04-30,2025-07-11,"Clean Energy,Data Centers",Fully Implemented,"http://www.wvlegislature.gov/Bill_Text_HTML/2025_SESSIONS/RS/bills/hb2014%20sub1%20eng.pdf

",rec5cfNsFAKsbTEIw,"Chapter 112, Acts, Regular Session, 2025"
Creating a Legislative Taskforce on Energy Generation Permitting,Louisiana,Shift Culture,Action,Other,"The Louisiana State Senate created a task force to study and make recommendations (by March 1) relative to polices that promote energy self-generation, industrial microgrids, and expedited permitting in the state of Louisiana.
",2025-06-25,2026-03-01,"Clean Energy,Fossil Fuels,General",Fully Implemented,"https://www.legis.la.gov/legis/ViewDocument.aspx?d=1424542
",rech2S3w6M8J1egur,SR195 (Senate Resolution)
Modifying the Riparian Buffer and Floodplain Rules for Airport Development,North Carolina,Consolidate or Eliminate Steps,Action,Regulatory Change,"**Modify the Riparian Buffer and Floodplain rules for airports to encourage investment and expansion in our world-class airport infrastructure.**

This section will aid the RDU Airport Authority in their runway expansion and ensure our critical airports can continue to grow, expand, and compete.

",2023-10-10,,"Fossil Fuels,Transportation,Other",,"https://ncchamber.com/2023/09/26/nc-legislature-passes-regulatory-reform-act-of-2023-with-bipartisan-support/
",recHwyaHc4NuT7srW,HB 600
DCM CAMA e-permitting,North Carolina,"Utilize Data and Technology,Set Projects up for Success,Promote Certainty in Permitting Process",Tool,"Dashboard/Portal,Applicant Support","The Division of Coastal Management’s online system supports major permits, general permits, and enforcement/compliance actions under the Coastal Area Management Act (CAMA), allowing applicants to apply, track status, and manage modifications electronically. DEQ describes it as part of a broader initiative to modernize environmental permitting and make interactions more efficient.
",2025-10-06,,"General,Ecological Restoration,Water",,"https://ncdeq.dynamics365portals.us/dcm-home/
",recU8G0Y93hhysxct,H 926
Establishing an Office for Supporting Businesses and Project Sponsors in the Permitting Process,Pennsylvania,"Set Projects up for Success,Promote Certainty in Permitting Process,Shift Culture",Action,Reorganization or Creation of New Government Offices,"[The Office of Transformation and Opportunity](https://www.pa.gov/agencies/oto) acts as a dedicated concierge for businesses and project sponsors navigating state permitting across multiple agencies, coordinating meetings and helping sponsors understand requirements from the start. 
",2023-01-24,2023-01-24,General,Fully Implemented,"https://www.pa.gov/agencies/oto
",recrtEZe9hsQa8mnI,EO 2023-05
Urban Growth Boundary Expansion Tool,Oregon,"Promote Certainty in Permitting Process,Set Projects up for Success,Consolidate or Eliminate Steps,Change Decision-Making Level",Tool,Regulatory Change,"Chapter 110 of the 2024 Oregon Laws introduced Urban Growth Boundary expansions, previously administered through the Land Conservation and Development Commission's standard amendment process. This was a multi-step, discretionary proceeding with variable timelines. SB 1537 created a one-time alternative tool allowing eligible cities to expand their Urban Growth Boundaries outside that process, conditioned on 30% affordability requirements in expansion areas. Practical impact depends on uptake by individual cities and their capacity to meet the affordability condition.
",2024-04-17,2024-06-06,Housing and Other Building Construction,Partially Implemented,"https://olis.oregonlegislature.gov/liz/2024r1/Measures/Overview/SB1537
",reckO9nDbCjnT8yAC,"Chapter 110, 2024 Laws / SB 1537 (2024)"
Creating regulations for the Siting and Colocation of Wireless Infrastructure,West Virginia,Promote Certainty in Permitting Process,Action,Regulatory Change,"West Virginia Chapter 42, Acts, Regular Session, 2025 creates new regulations for the siting and colocation (installing) of wireless infrastructure. Siting authorities are mandated to approve applications within a certain period of time with automatic approvals if they are unable to. It also requires automatic approval of modifications to wireless infrastructure that fits a certain criteria and prohibits authorities from imposing recurring unreasonable fees.
",2025-04-12,2025-06-09,Broadband,Fully Implemented,"http://www.wvlegislature.gov/Bill_Text_HTML/2025_SESSIONS/RS/bills/hb3144%20sub1%20enr.pdf

",rectLMsYFujZP8REY,"Chapter 42, Acts, Regular Session, 2025"
Reviewing Existing Regulations to Identify and Eliminate Inefficiencies,Alaska,Consolidate or Eliminate Steps,Action,Regulatory Change,"Administrative Order 360 seeks to promote growth and investment in Alaska by reducing administrative and economic burdens associated with regulatory compliance by streamlining permitting processes and improving agency coordination.

The Administrative Order specifically mentions (but is not exclusive to) Alaska DNR, DEC, and DFG to review their permitting processes and reduce the number of regulatory requirements by 15 percent by December 31, 2026, and 25 percent, cumulative, by December 31, 2027.
",2025-08-04,2025-08-04,General,Fully Implemented,"https://gov.alaska.gov/admin-orders/administrative-order-no-360/
",rec1uFU5dtPa7QgjL,Administrative Order No. 360
